state,resource
ALABAMA,Transportation Equipment
ALASKA,Fish and Marine Products
ARIZONA,Computers and Electronics
ARKANSAS,Transportation Equipment
CALIFORNIA,Computers and Electronics
COLORADO,Computers and Electronics
CONNECTICUT,Transportation Equipment
DELAWARE,Chemicals
DISTRICT OF COLUMBIA,Transportation Equipment
FLORIDA,Computers and Electronics
GEORGIA,Transportation Equipment
HAWAII,Petroleum and Coal
IDAHO,Computers and Electronics
ILLINOIS,Machinery
INDIANA,Transportation Equipment
IOWA,Machinery
KANSAS,Transportation Equipment
KENTUCKY,Transportation Equipment
LOUISIANA,Petroleum and Coal
MAINE,Fish and Marine Products
MARYLAND,Transportation Equipment
MASSACHUSETTS,Computers and Electronics
MICHIGAN,Transportation Equipment
MINNESOTA,Computers and Electronics
MISSISSIPPI,Petroleum and Coal
MISSOURI,Transportation Equipment
MONTANA,Chemicals
NEBRASKA,Food Manufacturing
NEVADA,Metal Manufacturing
NEW HAMPSHIRE,Computers and Electronics
NEW JERSEY,Chemicals
NEW MEXICO,Computers and Electronics
NEW YORK,Manufactured Commodities
NORTH CAROLINA,Chemicals
NORTH DAKOTA,Petroleum and Coal
OHIO,Transportation Equipment
OKLAHOMA,Machinery
OREGON,Machinery
PENNSYLVANIA,Chemicals
SOUTH CAROLINA,Transportation Equipment
SOUTH DAKOTA,Food Manufacturing
TENNESSEE,Transportation Equipment
TEXAS,Petroleum and Coal
UTAH,Metal Manufacturing
VERMONT,Computers and Electronics
VIRGINIA,Chemicals
WASHINGTON,Transportation Equipment
WEST VIRGINIA,Minerals and Ores
WISCONSIN,Machinery
WYOMING,Chemicals